,year,number,released,item_library_URL,standard_map_URL,type,reporting category,standard,item description,pts,school%,state%,school_state_diff,Reporting Category,Domain,Standard Description
112,2022,29,FALSE,,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=AI.A-CED.A.2,SR,AF,AI.A-CED.A.2,Create two-variable linear equations and use them to solve a real-world problem.,1,79,78,1,Algebra,Creating Equations,Create equations in two or more variables to represent relationships between quantities; graph equations on coordinate axes with labels and scales.
113,2022,30,FALSE,,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=GEO.G-C.A.3,SR,GE,GEO.G-C.A.3,Determine the measure of an angle of a quadrilateral inscribed in a circle.,1,56,61,-5,Geometry,"Similarity, Right Triangles, and Trigonometry","Construct the inscribed and circumscribed circles of a triangle, and prove properties of angles for a quadrilateral and other polygons inscribed in a circle."
114,2022,31,FALSE,,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=AI.N-Q.A.3,SR,NQ,AI.N-Q.A.3,Use estimation and rounding strategies to solve a real-world problem.,1,63,60,3,Number and Quantity,Quantities,Choose a level of accuracy appropriate to limitations on measurement when reporting quantities.
115,2022,32,FALSE,,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=GEO.G-GPE.B.7,SA,GE,GEO.G-GPE.B.7,Calculate the perimeter and the area of a pentagon graphed on a coordinate plane.,2,30,33,-3,Geometry,Expressing Geometric Properties with Equations,"Use coordinates to compute perimeters of polygons and areas of triangles and rectangles (e.g., using the distance formula)."
116,2022,33,FALSE,,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=AI.S-ID.A.1,SR,SP,AI.S-ID.A.1,Interpret a histogram based on a set of real-world data.,1,87,82,5,Statistics and Probability,Interpreting Categorical and Quantitative Data,"Represent data with plots on the real number line (dot plots, histograms, and box plots)."
117,2022,34,FALSE,,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=GEO.G-GMD.A.3,CR,GE,GEO.G-GMD.A.3,Use volume formulas for cylinders and spheres to solve real-world problems.,4,45,40,5,Geometry,Geometric Measurement and Dimension,"Use volume formulas for cylinders, pyramids, cones, and spheres to solve problems."
118,2022,35,FALSE,,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=AI.F-IF.B.5,SR,AF,AI.F-IF.B.5,Determine the domain and range of a linear function based on a real-world context.,2,31,41,-10,Functions,Interpreting Functions,"Relate the domain of a function to its graph and, where applicable, to the quantitative relationship it describes. For example, if the function h(n) gives the number of person-hours it takes to assemble n engines in a factory, then the positive integers would be an appropriate domain for the function"
119,2022,36,FALSE,,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=GEO.G-SRT.A.3,SR,GE,GEO.G-SRT.A.3,Determine the measure of an angle in one of a pair of similar triangles.,1,54,51,3,Geometry,"Similarity, Right Triangles, and Trigonometry",Use the properties of similarity transformations to establish the Angle-Angle (AA) criterion for two triangles to be similar.
120,2022,37,FALSE,,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=AI.S-ID.B.5,SA,SP,AI.S-ID.B.5,Calculate a marginal relative frequency from data in a two-way table.,1,52,53,-1,Statistics and Probability,Interpreting Categorical and Quantitative Data,"Summarize categorical data for two categories in two-way frequency tables. Interpret relative frequencies in the context of the data (including joint, marginal, and conditional relative frequencies). Recognize possible associations and trends in the data."
121,2022,38,FALSE,,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=GEO.G-CO.D.12,SR,GE,GEO.G-CO.D.12,Interpret the results of the construction of an angle bisector.,1,48,59,-11,Geometry,Congruence,"Make formal geometric constructions with a variety of tools and methods (compass and straightedge, string, reflective devices, paper folding, dynamic geometric software, etc.). Constructions include: copying a segment; copying an angle; bisecting a segment; bisecting an angle; constructing perpendicular lines, including the perpendicular bisector of a line segment; and constructing a line parallel to a given line through a point not on the line."
122,2022,39,FALSE,,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=GEO.G-C.B.5,SA,GE,GEO.G-C.B.5,Determine the area of a sector of a circle and its arc length given the radius of the circle and a central angle measure.,2,32,33,-1,Geometry,"Similarity, Right Triangles, and Trigonometry","Derive, using similarity, the fact that the length of the arc intercepted by an angle is proportional to the radius, and define the radian measure of the angle as the constant of proportionality; derive the formula for the area of a sector. "
123,2022,40,FALSE,,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=AI.F-LE.A.1,SR,AF,AI.F-LE.A.1,Determine whether given situations can be modeled by a linear function or by an exponential function.,1,46,49,-3,Functions,Linear Quadratic and Exponential Models,Distinguish between situations that can be modeled with linear functions and with exponential functions.
124,2022,41,FALSE,,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=GEO.G-GPE.B.4,SR,GE,GEO.G-GPE.B.4,Determine the nature of a quadrilateral given its coordinates represented by expressions.,1,51,48,3,Geometry,Expressing Geometric Properties with Equations,"Use coordinates to prove simple geometric theorems algebraically, including the distance formula and its relationship to the Pythagorean Theorem. For example, prove or disprove that a figure defined by four given points in the coordinate plane is a rectangle; prove or disprove that the point (1, ) lies on the circle centered at the origin and containing the point (0, 2)."
125,2022,42,FALSE,,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=AI.A-CED.A.1,SR,AF,AI.A-CED.A.1,"Create a one-variable equation, based on a real-world context, and use the equation to solve a problem.",1,51,64,-13,Algebra,Creating Equations,"Create equations and inequalities in one variable and use them to solve problems. (Include equations arising from linear, quadratic, and exponential functions with integer exponents.)"
