,year,number,released,item_library_URL,standard_map_URL,type,reporting category,standard,item description,pts,school%,state%,school_state_diff,Reporting Category,Domain,Standard Description
156,2023,31,FALSE,,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=AI.F-LE.A.3,SR,AF,AI.F-LE.A.3,"Compare the values of a linear function and an exponential function, graphed on a coordinate plane, as the value of the independent variable increases.",1,33,40,-7,Functions,Linear Quadratic and Exponential Models,"Observe, using graphs and tables, that a quantity increasing exponentially eventually exceeds a quantity increasing linearly, quadratically, or (more generally) as a polynomial function."
157,2023,32,FALSE,,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=AI.S-ID.B.5,SA,SP,AI.S-ID.B.5,Calculate relative frequencies from a two-way table based on a real-world context.,2,53,53,0,Statistics and Probability,Interpreting Categorical and Quantitative Data,"Summarize categorical data for two categories in two-way frequency tables. Interpret relative frequencies in the context of the data (including joint, marginal, and conditional relative frequencies). Recognize possible associations and trends in the data."
158,2023,33,FALSE,,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=GEO.G-C.A.2,SR,GE,GEO.G-C.A.2,Determine an unknown arc measure in a diagram of a triangle inscribed in a circle.,1,43,49,-6,Geometry,"Similarity, Right Triangles, and Trigonometry","Identify and describe relationships among inscribed angles, radii, and chords. Include the relationship between central, inscribed, and circumscribed angles; inscribed angles on a diameter are right angles; the radius of a circle is perpendicular to the tangent where the radius intersects the circle."
159,2023,34,FALSE,,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=AI.N-Q.A.1,CR,NQ,AI.N-Q.A.1,"Use dimensional analysis and translate between units to solve real-world problems, and then apply the solutions to a related problem.",4,60,56,4,Number and Quantity,Quantities,Use units as a way to understand problems and to guide the solution of multi-step problems; choose and interpret units consistently in formulas; choose and interpret the scale and the origin in graphs and data displays.
160,2023,35,FALSE,,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=GEO.G-CO.B.7,SR,GE,GEO.G-CO.B.7,Relate the side lengths and angle measures in pairs of congruent triangles.,2,75,76,-1,Geometry,Congruence,Use the definition of congruence in terms of rigid motions to show that two triangles are congruent if and only if corresponding pairs of sides and corresponding pairs of angles are congruent.
161,2023,36,FALSE,,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=AI.N-Q.A.3,SR,NQ,AI.N-Q.A.3,Use estimation and dimensional analysis to solve a real-world problem involving mass and money.,1,62,52,10,Number and Quantity,Quantities,Choose a level of accuracy appropriate to limitations on measurement when reporting quantities.
162,2023,37,FALSE,,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=AI.S-ID.A.2,SR,SP,AI.S-ID.A.2,Compare measures of center and spreads of two real-world data sets displayed in line plots.,1,38,47,-9,Statistics and Probability,Interpreting Categorical and Quantitative Data,"Use statistics appropriate to the shape of the data distribution to compare center (median, mean) and spread (interquartile range, standard deviation) of two or more different data sets."
163,2023,38,FALSE,,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=GEO.G-CO.A.2,SR,GE,GEO.G-CO.A.2,"Determine the coordinates of a vertex of a pentagon, graphed on a coordinate plane, after a sequence of transformations.",1,58,57,1,Geometry,Congruence,"Represent transformations in the plane using, e.g., transparencies and geometry software; describe transformations as functions that take points in the plane as inputs and give other points as outputs. Compare transformations that preserve distance and angle to those that do not (e.g., translation versus horizontal stretch)."
164,2023,39,FALSE,,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=GEO.G-C.B.5,SA,GE,GEO.G-C.B.5,Calculate the area of a sector of a circle and the length of an arc on the circle.,2,33,33,0,Geometry,"Similarity, Right Triangles, and Trigonometry","Derive, using similarity, the fact that the length of the arc intercepted by an angle is proportional to the radius, and define the radian measure of the angle as the constant of proportionality; derive the formula for the area of a sector. "
165,2023,40,FALSE,,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=AI.A-SSE.A.1,SR,AF,AI.A-SSE.A.1,Interpret the parts of an exponential expression based on a real-world context.,1,52,46,6,Algebra,Seeing Structure in Expressions,"Interpret complicated expressions by viewing one or more of their parts as a single entity. For example, interpret P(1 + r)t as the product of P and a factor not depending on P."
166,2023,41,FALSE,,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=GEO.G-GMD.A.3,SR,GE,GEO.G-GMD.A.3,Calculate the radius of a cone given its height and its volume.,1,57,59,-2,Geometry,Geometric Measurement and Dimension,"Use volume formulas for cylinders, pyramids, cones, and spheres to solve problems."
167,2023,42,FALSE,,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=AI.S-ID.C.8,SR,SP,AI.S-ID.C.8,Identify the correlation coefficient that best represents a description of the results of a survey.,1,40,51,-11,Statistics and Probability,Interpreting Categorical and Quantitative Data,Compute (using technology) and interpret the correlation coefficient of a linear fit.
168,2024,1,TRUE,https://mcas.digitalitemlibrary.com/home?subject=Math&grades=Grade%2010&view=ALL&itemUIN=MA311207&YearCode=2024,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=AI.F-IF.A.3,SR,AF,AI.F-IF.A.3,"Given a function that represents an arithmetic sequence, identify the first four numbers in the sequence.",1,84,73,11,Functions,Interpreting Functions,"Recognize that sequences are functions, sometimes defined recursively, whose domain is a subset of the integers. For example, the Fibonacci sequence is defined recursively by f(0) = f(1) = 1, f(n + 1) = f(n) + f(n + 1) for n ≥ 1."
169,2024,2,TRUE,https://mcas.digitalitemlibrary.com/home?subject=Math&grades=Grade%2010&view=ALL&itemUIN=MA900684798&YearCode=2024,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=AI.N-RN.B.3,SR,NQ,AI.N-RN.B.3,"Given variables that represent a rational and an irrational number, identify variable expressions as rational or irrational.",1,42,47,-5,Number and Quantity,The Real Number System,"Explain why the sum or product of two rational numbers is rational; that the sum of a rational number
and an irrational number is irrational; and that the product of a nonzero rational number and an
irrational number is irrational."
170,2024,3,TRUE,https://mcas.digitalitemlibrary.com/home?subject=Math&grades=Grade%2010&view=ALL&itemUIN=MA273581&YearCode=2024,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=AI.A-SSE.B.3,SR,AF,AI.A-SSE.B.3,Identify the equation of a line that meets given slope and intercept criteria.,1,55,43,12,Algebra,Seeing Structure in Expressions,"Use the properties of exponents to transform expressions for exponential functions. For example, the expression 1.15t
can be rewritten as (1.151/12) 12t ≈ 1.01212t to reveal the approximateequivalent monthly interest rate if the annual rate is 15%."
171,2024,4,TRUE,https://mcas.digitalitemlibrary.com/home?subject=Math&grades=Grade%2010&view=ALL&itemUIN=MA311200&YearCode=2024,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=GEO.G-CO.C.9,SR,GE,GEO.G-CO.C.9,Determine an unknown angle measure in a diagram with parallel lines crossed by a transversal.,1,82,85,-3,Geometry,Congruence,"Prove theorems about lines and angles. Theorems include: vertical angles are congruent; when a transversal crosses parallel lines, alternate interior angles are congruent and corresponding angles are congruent, and conversely prove lines are parallel; points on a perpendicular bisector of a line segment are exactly those equidistant from the segment’s endpoints."
172,2024,5,TRUE,https://mcas.digitalitemlibrary.com/home?subject=Math&grades=Grade%2010&view=ALL&itemUIN=MA900762227&YearCode=2024,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=AI.A-REI.C.5,SR,AF,AI.A-REI.C.5,Identify a system of linear equations that has the same solution as a given system of linear equations.,1,69,70,-1,Algebra,Reasoning with Equations and Inequalities,"Prove that, given a system of two equations in two variables, replacing one equation by the sum of that equation and a multiple of the other produces a system with the same solutions."
173,2024,6,TRUE,https://mcas.digitalitemlibrary.com/home?subject=Math&grades=Grade%2010&view=ALL&itemUIN=MA294697&YearCode=2024,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=AI.S-ID.A.2,CR,SP,AI.S-ID.A.2,Calculate the range and the median of a set of real-world data and determine the values of additional data based on changes in measures of center.,4,48,50,-2,Statistics and Probability,Interpreting Categorical and Quantitative Data,"Use statistics appropriate to the shape of the data distribution to compare center (median, mean) and spread (interquartile range, standard deviation) of two or more different data sets."
174,2024,7,TRUE,https://mcas.digitalitemlibrary.com/home?subject=Math&grades=Grade%2010&view=ALL&itemUIN=MA135903184&YearCode=2024,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=AI.F-IF.C.9,SR,AF,AI.F-IF.C.9,"Compare properties of two linear functions, one represented by an equation and the other represented by a graph.",1,71,61,10,Functions,Interpreting Functions,"Translate among different representations of functions (algebraically, graphically, numerically in tables,
or by verbal descriptions). Compare properties of two functions each represented in a different way. 
Massachusetts Curriculum Framework for Mathematics 113
For example, given a graph of one quadratic function and an algebraic expression for another, say
which has the larger maximum. "
175,2024,8,TRUE,https://mcas.digitalitemlibrary.com/home?subject=Math&grades=Grade%2010&view=ALL&itemUIN=MA903367564&YearCode=2024,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=GEO.G-GPE.A.1,SR,GE,GEO.G-GPE.A.1,Determine the coordinates of the center of a circle given its equation.,1,37,44,-7,Geometry,Expressing Geometric Properties with Equations,Derive the equation of a circle of given center and radius using the Pythagorean Theorem; complete the square to find the center and radius of a circle given by an equation.
176,2024,9,TRUE,https://mcas.digitalitemlibrary.com/home?subject=Math&grades=Grade%2010&view=ALL&itemUIN=MA307949&YearCode=2024,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=AI.F-LE.A.2,SR,AF,AI.F-LE.A.2,Identify the equation of a linear function based on values in a table.,1,53,46,7,Functions,Linear Quadratic and Exponential Models,"Construct linear and exponential functions, including arithmetic and geometric sequences, given a graph, a description of a relationship, or two input-output pairs (including reading these from a table)."
177,2024,10,TRUE,https://mcas.digitalitemlibrary.com/home?subject=Math&grades=Grade%2010&view=ALL&itemUIN=MA300988&YearCode=2024,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=AI.A-APR.A.1,SR,AF,AI.A-APR.A.1,Identify an equivalent expression by finding the difference of two trinomials.,1,42,42,0,Algebra,Arithmetic with Polynomials and Rational Expressions,"Understand that polynomials form a system analogous to the integers, namely, they are closed under
certain operations. "
178,2024,11,TRUE,https://mcas.digitalitemlibrary.com/home?subject=Math&grades=Grade%2010&view=ALL&itemUIN=MA202883260&YearCode=2024,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=GEO.G-CO.A.5,SA,GE,GEO.G-CO.A.5,"Identify a transformation rule used to map one triangle onto another, and graph the triangle over a rotation.",2,53,48,5,Geometry,Congruence,"Given a geometric figure and a rotation, reflection, or translation, draw the transformed figure using graph paper, tracing paper, or geometry software. Specify a sequence of transformations that will carry a given figure onto another."
179,2024,12,TRUE,https://mcas.digitalitemlibrary.com/home?subject=Math&grades=Grade%2010&view=ALL&itemUIN=MA294163&YearCode=2024,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=AI.A-REI.B.4,SR,AF,AI.A-REI.B.4,Identify the solutions of a factored quadratic equation in one variable.,1,55,54,1,Algebra,Reasoning with Equations and Inequalities,Solve quadratic equations in one variable.
180,2024,13,TRUE,https://mcas.digitalitemlibrary.com/home?subject=Math&grades=Grade%2010&view=ALL&itemUIN=MA014757701&YearCode=2024,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=AI.N-RN.A.2,CR,NQ,AI.N-RN.A.2,Equate various radical expressions to exponential expressions and evaluate a claim based on the properties of exponents.,4,38,34,4,Number and Quantity,The Real Number System,Rewrite expressions involving radicals and rational exponents using the properties of exponents.
181,2024,14,TRUE,https://mcas.digitalitemlibrary.com/home?subject=Math&grades=Grade%2010&view=ALL&itemUIN=MA903606111&YearCode=2024,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=GEO.S-CP.A.4,SA,SP,GEO.S-CP.A.4,Calculate a marginal probability and a conditional probability based on survey data displayed in a table.,2,69,61,8,Geometry,Conditional Probability and the Rules of Probability,"Construct and interpret two-way frequency tables of data when two categories are associated with each object being classified. Use the two-way table as a sample space to decide if events are independent and to approximate conditional probabilities. For example, collect data from a random sample of students in your school on their favorite subject among math, science, and English. Estimate the probability that a randomly selected student from your school will favor science given that the student is in tenth grade. Do the same for other subjects and compare the results."
182,2024,15,TRUE,https://mcas.digitalitemlibrary.com/home?subject=Math&grades=Grade%2010&view=ALL&itemUIN=MA315681&YearCode=2024,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=GEO.G-CO.B.6,SR,GE,GEO.G-CO.B.6,"Identify a transformation which, if performed on a triangle, would not produce a congruent image.",1,58,66,-8,Geometry,Congruence," Use geometric descriptions of rigid motions to transform figures and to predict the effect of a given rigid motion on a given figure; given two figures, use the definition of congruence in terms of rigid motions to decide if they are congruent."
183,2024,16,TRUE,https://mcas.digitalitemlibrary.com/home?subject=Math&grades=Grade%2010&view=ALL&itemUIN=MA200308515&YearCode=2024,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=AI.F-IF.A.2,SR,AF,AI.F-IF.A.2,Analyze a quadratic function that models a relationship based on a real-world situation.,1,56,56,0,Functions,Interpreting Functions,"Use function notation, evaluate functions for inputs in their domains, and interpret statements that use function notation in terms of a context. For example, given a function representing a car loan, determine the balance of the loan at different points in time."
184,2024,17,TRUE,https://mcas.digitalitemlibrary.com/home?subject=Math&grades=Grade%2010&view=ALL&itemUIN=MA303259&YearCode=2024,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=AI.N-Q.A.2,SR,NQ,AI.N-Q.A.2,Use estimation to determine a unit rate in a real-world situation involving quantities with different units.,1,84,71,13,Number and Quantity,Quantities,Define appropriate quantities for the purpose of descriptive modeling.
185,2024,18,TRUE,https://mcas.digitalitemlibrary.com/home?subject=Math&grades=Grade%2010&view=ALL&itemUIN=MA135877731&YearCode=2024,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=AI.A-REI.D.12,SR,AF,AI.A-REI.D.12,"Identify the graph of the solution set of a linear inequality, and identify a different inequality based on the graph of its solution set.",2,63,56,7,Algebra,Reasoning with Equations and Inequalities,"Graph the solutions of a linear inequality in two variables as a half-plane (excluding the boundary in the
case of a strict inequality), and graph the solution set of a system of linear inequalities in two variables
as the intersection of the corresponding half-planes."
186,2024,19,TRUE,https://mcas.digitalitemlibrary.com/home?subject=Math&grades=Grade%2010&view=ALL&itemUIN=MA713424628&YearCode=2024,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=AI.A-SSE.A.2,SR,AF,AI.A-SSE.A.2,Relate the products of binomials to their expanded forms.,1,34,36,-2,Algebra,Seeing Structure in Expressions,"Use the structure of an expression to identify ways to rewrite it. For example, see (x + 2)2 – 9 as a difference of squares that can be factored as ((x + 2) + 3)((x + 2 ) – 3)."
187,2024,20,TRUE,https://mcas.digitalitemlibrary.com/home?subject=Math&grades=Grade%2010&view=ALL&itemUIN=MA315729&YearCode=2024,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=GEO.G-GPE.B.5,SR,GE,GEO.G-GPE.B.5,"Identify an equation of a line parallel to a line graphed on a coordinate plane, which passes through a given point.",1,56,53,3,Geometry,Expressing Geometric Properties with Equations,"Prove the slope criteria for parallel and perpendicular lines and use them to solve geometric problems (e.g., find the equation of a line parallel or perpendicular to a given line that passes through a given point)."
188,2024,21,FALSE,,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=AI.A-REI.A.1,SR,AF,AI.A-REI.A.1,Identify which step in the solution of an equation contains an error.,1,48,42,6,Algebra,Reasoning with Equations and Inequalities,"Explain each step in solving a simple equation as following from the equality of numbers asserted at the previous step, starting from the assumption that the original equation has a solution. Construct a viable argument to justify or refute a solution method."
189,2024,22,FALSE,,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=GEO.G-CO.A.2,SR,GE,GEO.G-CO.A.2,Identify a transformation rule that represents the translation of a polygon on a coordinate plane.,1,89,87,2,Geometry,Congruence,"Represent transformations in the plane using, e.g., transparencies and geometry software; describe transformations as functions that take points in the plane as inputs and give other points as outputs. Compare transformations that preserve distance and angle to those that do not (e.g., translation versus horizontal stretch)."
190,2024,23,FALSE,,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=GEO.G-GMD.A.1,SR,GE,GEO.G-GMD.A.1,Determine the area of a semicircle given the length of its diameter.,1,35,52,-17,Geometry,Geometric Measurement and Dimension,"Give an informal argument for the formulas for the circumference of a circle, area of a circle, volume of a cylinder, pyramid, and cone. Use dissection arguments, Cavalieri’s principle, and informal limit arguments."
191,2024,24,FALSE,,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=AI.F-BF.A.1,SR,AF,AI.F-BF.A.1,Create an exponential function that models a relationship based on a real-world situation.,1,53,41,12,Functions,Building Functions,"Write linear, quadratic, and exponential functions that describe a relationship between
two quantities."
192,2024,25,FALSE,,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=AI.N-RN.A.1,SR,NQ,AI.N-RN.A.1,Identify an exponential expression equivalent to a given radical expression.,1,61,56,5,Number and Quantity,The Real Number System,"Explain how the definition of the meaning of rational exponents follows from extending the properties of integer exponents to those values, allowing for a notation for radicals in terms of rational exponents. For example, we define 51/3 to be the cube root of 5 because we want (51/3) 3 = 5(1/3) 3 to hold, so (51/3) 3 must equal 5."
193,2024,26,FALSE,,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=GEO.G-SRT.A.1,SA,GE,GEO.G-SRT.A.1,"Graph the image of a quadrilateral, over a dilation, on a coordinate plane.",1,65,58,7,Geometry,"Similarity, Right Triangles, and Trigonometry",Verify experimentally the properties of dilations given by a center and a scale factor:
194,2024,27,FALSE,,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=GEO.G-C.A.2,CR,GE,GEO.G-C.A.2,"Determine minor arc measures, a major arc measure, and an angle measure given a figure inscribed in a circle.",4,41,41,0,Geometry,"Similarity, Right Triangles, and Trigonometry","Identify and describe relationships among inscribed angles, radii, and chords. Include the relationship between central, inscribed, and circumscribed angles; inscribed angles on a diameter are right angles; the radius of a circle is perpendicular to the tangent where the radius intersects the circle."
195,2024,28,FALSE,,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=AI.A-CED.A.1,SR,AF,AI.A-CED.A.1,Create and solve a one-variable exponential equation based on a real-world context.,1,58,46,12,Algebra,Creating Equations,"Create equations and inequalities in one variable and use them to solve problems. (Include equations arising from linear, quadratic, and exponential functions with integer exponents.)"
196,2024,29,FALSE,,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=GEO.G-GMD.A.3,SR,GE,GEO.G-GMD.A.3,Calculate the volume of a right circular cylinder given its dimensions.,1,66,59,7,Geometry,Geometric Measurement and Dimension,"Use volume formulas for cylinders, pyramids, cones, and spheres to solve problems."
197,2024,30,FALSE,,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=GEO.G-SRT.C.8,SR,GE,GEO.G-SRT.C.8,Use a trigonometric relationship to calculate an unknown measurement in a trapezoid.,1,68,59,9,Geometry,"Similarity, Right Triangles, and Trigonometry",Use trigonometric ratios and the Pythagorean Theorem to solve right triangles in applied problems.
198,2024,31,FALSE,,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=AI.F-LE.B.5,SR,AF,AI.F-LE.B.5,Interpret an exponential function based on the context it represents.,1,53,56,-3,Functions,Linear Quadratic and Exponential Models,Interpret the parameters in a linear or exponential function (of the form f(x) = bx + k) in terms of a context.
199,2024,32,FALSE,,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=GEO.G-CO.B.7,SA,GE,GEO.G-CO.B.7,Relate the side lengths and angle measures in pairs of congruent triangles.,2,79,80,-1,Geometry,Congruence,Use the definition of congruence in terms of rigid motions to show that two triangles are congruent if and only if corresponding pairs of sides and corresponding pairs of angles are congruent.
200,2024,33,FALSE,,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=GEO.G-CO.D.12,SR,GE,GEO.G-CO.D.12,Analyze the construction of an angle bisector.,1,81,72,9,Geometry,Congruence,"Make formal geometric constructions with a variety of tools and methods (compass and straightedge, string, reflective devices, paper folding, dynamic geometric software, etc.). Constructions include: copying a segment; copying an angle; bisecting a segment; bisecting an angle; constructing perpendicular lines, including the perpendicular bisector of a line segment; and constructing a line parallel to a given line through a point not on the line."
201,2024,34,FALSE,,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=AI.A-CED.A.3,CR,AF,AI.A-CED.A.3,"Create and solve a system of linear equations in two variables using given constraints, and create and analyze a related inequality.",4,47,37,10,Algebra,Creating Equations,"Represent constraints by linear equations or inequalities, and by systems of linear equations and/or inequalities, and interpret solutions as viable or non-viable options in a modeling context. For example, represent inequalities describing nutritional and cost constraints on combinations of different foods."
202,2024,35,FALSE,,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=AI.N-Q.A.1,SA,NQ,AI.N-Q.A.1,Use dimensional analysis to solve real-world problems involving distance and time.,2,56,46,10,Number and Quantity,Quantities,Use units as a way to understand problems and to guide the solution of multi-step problems; choose and interpret units consistently in formulas; choose and interpret the scale and the origin in graphs and data displays.
203,2024,36,FALSE,,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=AI.S-ID.B.5,SR,SP,AI.S-ID.B.5,Calculate a relative frequency based on real-world data displayed in a two-way table.,1,77,73,4,Statistics and Probability,Interpreting Categorical and Quantitative Data,"Summarize categorical data for two categories in two-way frequency tables. Interpret relative frequencies in the context of the data (including joint, marginal, and conditional relative frequencies). Recognize possible associations and trends in the data."
204,2024,37,FALSE,,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=GEO.G-C.A.1,SR,GE,GEO.G-C.A.1,Identify a sequence of transformations that can be used to prove two circles are similar.,1,66,49,17,Geometry,"Similarity, Right Triangles, and Trigonometry",Prove that all circles are similar.
205,2024,38,FALSE,,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=GEO.S-CP.B.6,SR,SP,GEO.S-CP.B.6,Identify an expression that can be used to calculate the probability of two dependent events occurring.,1,66,60,6,Geometry,Conditional Probability and the Rules of Probability,"Find the conditional probability of A given B as the fraction of B’s outcomes that also belong to A, and interpret the answer in terms of the model."
206,2024,39,FALSE,,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=AI.F-IF.B.4,SR,AF,AI.F-IF.B.4,"Given the graph of a quadratic function, interpret the value of the vertex and analyze other aspects of the function, based on the context it represents.",2,90,83,7,Functions,Interpreting Functions,"For a function that models a relationship between two quantities, interpret key features of graphs and tables in terms of the quantities, and sketch graphs showing key features given a verbal description of the relationship. Key features include: intercepts; intervals where the function is increasing, decreasing, positive, or negative; relative maximums and minimums; symmetries; and end behavior."
207,2024,40,FALSE,,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=GEO.G-SRT.B.4,SR,GE,GEO.G-SRT.B.4,Use a proportion to calculate an unknown length in a diagram of a triangle and a line parallel to one of its sides.,1,74,64,10,Geometry,"Similarity, Right Triangles, and Trigonometry"," Prove theorems about triangles. Theorems include: a line parallel to one side of a triangle divides the other two proportionally, and conversely; the Pythagorean Theorem proved using triangle similarity."
208,2024,41,FALSE,,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=AI.S-ID.C.7,SR,SP,AI.S-ID.C.7,Interpret the rate of change in a linear equation that models data in a real-world situation.,1,84,76,8,Statistics and Probability,Interpreting Categorical and Quantitative Data,Interpret the slope (rate of change) and the intercept (constant term) of a linear model in the context of the data.
209,2024,42,FALSE,,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=GEO.G-C.B.5,SR,GE,GEO.G-C.B.5,Calculate the measure of the central angle of a circle given the radius of the circle and the length of the arc intercepted by the angle.,1,42,39,3,Geometry,"Similarity, Right Triangles, and Trigonometry","Derive, using similarity, the fact that the length of the arc intercepted by an angle is proportional to the radius, and define the radian measure of the angle as the constant of proportionality; derive the formula for the area of a sector. "
