,year,number,released,item_library_URL,standard_map_URL,type,reporting category,standard,item description,pts,school%,state%,school_state_diff,Cluster,text_type
0,2019,1,TRUE,https://mcas.digitalitemlibrary.com/home?subject=ELA&grades=Grade%206&view=ALL&itemUIN=EL707540506,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=R.PK-12.1,SR,RE,R.PK-12.1,Cite textual evidence to support an inference based on a passage.,1,74,63,11,Key Ideas and Details,Informational
1,2019,2,TRUE,https://mcas.digitalitemlibrary.com/home?subject=ELA&grades=Grade%206&view=ALL&itemUIN=EL707541984,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=R.PK-12.2,SR,RE,R.PK-12.2,Identify a central idea of a passage and choose supporting evidence.,2,53,33,20,Key Ideas and Details,Informational
2,2019,3,TRUE,https://mcas.digitalitemlibrary.com/home?subject=ELA&grades=Grade%206&view=ALL&itemUIN=EL711077555,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=R.PK-12.5,SR,RE,R.PK-12.5,Determine the reason for including a text feature in a passage.,1,74,60,14,Craft and Structure,Informational
3,2019,4,TRUE,https://mcas.digitalitemlibrary.com/home?subject=ELA&grades=Grade%206&view=ALL&itemUIN=EL707543302,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=L.PK-12.5,SR,LA,L.PK-12.5,Analyze how figurative language contributes to an understanding of a passage.,1,84,75,9,Vocabulary Acquisition and Use,Informational
4,2019,5,TRUE,https://mcas.digitalitemlibrary.com/home?subject=ELA&grades=Grade%206&view=ALL&itemUIN=EL707542115,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=R.PK-12.2,SR,RE,R.PK-12.2,Determine the appropriate order of events for a passage summary.,2,60,56,4,Key Ideas and Details,Informational
5,2019,6,TRUE,https://mcas.digitalitemlibrary.com/home?subject=ELA&grades=Grade%206&view=ALL&itemUIN=EL710366412,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=R.PK-12.9,SR,RE,R.PK-12.9,Contrast two authors' presentations of the same event.,1,61,56,5,Integration of Knowledge and Ideas,Informational
6,2019,7,TRUE,https://mcas.digitalitemlibrary.com/home?subject=ELA&grades=Grade%206&view=ALL&itemUIN=EL707540543,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=R.PK-12.5,SR,RE,R.PK-12.5,Compare the text structures of two passages.,1,75,65,10,Craft and Structure,Informational
7,2019,8,FALSE,,https://mcas.digitalitemlibrary.com/home?subject=ELA&grades=Grade%206&view=ALL&itemUIN=EL710355409,ES,-,-,Write an essay that explains whether an individual discussed in a pair of passages would be considered heroic; use information from the passages to support the explanation.,8,54,47,7,WR Combined (Conv/Idea Dev),Informational
8,2019,9,TRUE,http://www.doe.mass.edu/mcas/search/question.aspx?uin=EL712828536,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=R.PK-12.4,SR,RE,R.PK-12.4,Determine how the tone of a passage changes based on a portion of the text.,1,73,72,1,Craft and Structure,Literature
9,2019,10,TRUE,http://www.doe.mass.edu/mcas/search/question.aspx?uin=EL712828842,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=R.PK-12.5,SR,RE,R.PK-12.5,Analyze how a specific section from a passage contributes to the development of the plot.,1,53,51,2,Craft and Structure,Literature
10,2019,11,TRUE,http://www.doe.mass.edu/mcas/search/question.aspx?uin=EL712828407,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=R.PK-12.2,SR,RE,R.PK-12.2,Identify a central idea in a passage.,1,70,72,-2,Key Ideas and Details,Literature
11,2019,12,TRUE,http://www.doe.mass.edu/mcas/search/question.aspx?uin=EL720341012,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=R.PK-12.3,SR,RE,R.PK-12.3,Analyze a passage to determine traits of a character and choose supporting evidence from the passage.,2,81,76,5,Key Ideas and Details,Literature
12,2019,13,TRUE,http://www.doe.mass.edu/mcas/search/question.aspx?uin=EL712829207,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=R.PK-12.4,SR,RE,R.PK-12.4,Analyze the effect of figurative language in a passage.,1,82,69,13,Craft and Structure,Literature
13,2019,14,TRUE,http://www.doe.mass.edu/mcas/search/question.aspx?uin=EL712829123,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=R.PK-12.6,SR,RE,R.PK-12.6,Explain how the author develops the point of view of a character in a passage.,1,76,72,4,Craft and Structure,Literature
14,2019,15,TRUE,http://www.doe.mass.edu/mcas/search/question.aspx?uin=EL720544333,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=R.PK-12.5,SR,RE,R.PK-12.5,Identify the events that contribute to the structure of a passage's plot.,2,56,61,-5,Craft and Structure,Literature
15,2019,16,FALSE,,http://www.doe.mass.edu/mcas/search/question.aspx?uin=EL712756190,ES,-,-,Write an essay that explains how a particular theme is developed in a passage; use information from the passage to support the explanation.,8,43,40,3,WR Combined (Conv/Idea Dev),Literature
16,2019,17,TRUE,http://www.doe.mass.edu/mcas/search/question.aspx?uin=EL710731869,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=R.PK-12.5,SR,RE,R.PK-12.5,Analyze how a section of a passage contributes to the development of characterization and plot.,1,66,61,5,Craft and Structure,Literature
17,2019,18,TRUE,http://www.doe.mass.edu/mcas/search/question.aspx?uin=EL710269684,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=R.PK-12.3,SR,RE,R.PK-12.3,Analyze the feelings of a character and choose supporting evidence from the passage.,2,85,75,10,Key Ideas and Details,Literature
18,2019,19,TRUE,http://www.doe.mass.edu/mcas/search/question.aspx?uin=EL710731348,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=L.PK-12.4,SR,LA,L.PK-12.4,Determine the meaning of a word in context.,1,60,52,8,Vocabulary Acquisition and Use,Literature
19,2019,20,TRUE,http://www.doe.mass.edu/mcas/search/question.aspx?uin=EL707643593,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=R.PK-12.2,SR,RE,R.PK-12.2,Identify how the interactions of characters help to develop a central idea of a passage; choose supporting evidence from the passage.,2,71,65,6,Key Ideas and Details,Literature
20,2019,21,FALSE,,http://www.doe.mass.edu/mcas/search/question.aspx?uin=EL707347158,SR,LA,L.PK-12.5,Determine the meaning of figurative language in a passage.,1,69,70,-1,Vocabulary Acquisition and Use,Literature
21,2019,22,FALSE,,http://www.doe.mass.edu/mcas/search/question.aspx?uin=EL710139135,SR,RE,R.PK-12.4,Determine how a phrase reveals aspects of a character in a passage.,1,76,68,8,Craft and Structure,Literature
