,year,number,released,item_library_URL,standard_map_URL,type,reporting category,standard,item description,pts,school%,state%,school_state_diff,Cluster,text_type,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
116,2023,15,TRUE,https://mcas.digitalitemlibrary.com/home?subject=ELA&grades=Grade%207&view=ALL&itemUIN=EL006978834&YearCode=2023,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=R.PK-12.2,SR,RE,R.PK-12.2,Determine a central idea of an article and identify support from the article.,2,59,51,8,Key Ideas and Details,Informational,,,,,,,,
117,2023,16,TRUE,http://www.doe.mass.edu/mcas/search/question.aspx?uin=EL713481518&YearCode=2023,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=R.PK-12.3,SR,RE,R.PK-12.3,Analyze how a specific paragraph develops a character.,1,66,63,3,Key Ideas and Details,Literature,,,,,,,,
118,2023,17,TRUE,http://www.doe.mass.edu/mcas/search/question.aspx?uin=EL713370326&YearCode=2023,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=R.PK-12.2,SR,RE,R.PK-12.2,Identify supporting evidence for a central idea in a passage.,2,67,64,3,Key Ideas and Details,Literature,,,,,,,,
119,2023,18,TRUE,http://www.doe.mass.edu/mcas/search/question.aspx?uin=EL713479099&YearCode=2023,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=R.PK-12.3,SR,RE,R.PK-12.3,Analyze what a phrase in a passage suggests about a character's feelings.,1,68,61,7,Key Ideas and Details,Literature,,,,,,,,
120,2023,19,TRUE,http://www.doe.mass.edu/mcas/search/question.aspx?uin=EL713480064&YearCode=2023,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=R.PK-12.1,SR,RE,R.PK-12.1,Make an inference about a character based on information from the passage.,1,62,60,2,Key Ideas and Details,Literature,,,,,,,,
121,2023,20,TRUE,http://www.doe.mass.edu/mcas/search/question.aspx?uin=EL730170770&YearCode=2023,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=R.PK-12.4,SR,RE,R.PK-12.4,Analyze how a specific paragraph impacts the meaning of a passage.,1,92,77,15,Craft and Structure,Literature,,,,,,,,
122,2023,21,FALSE,,http://www.doe.mass.edu/mcas/search/question.aspx?uin=EL713480958&YearCode=2023,SR,RE,R.PK-12.3,Analyze how a figure of speech reveals a character's feelings about the setting in a passage.,1,70,70,0,Key Ideas and Details,Literature,,,,,,,,
123,2023,22,FALSE,,http://www.doe.mass.edu/mcas/search/question.aspx?uin=EL713479631&YearCode=2023,SR,RE,R.PK-12.1,Make an inference about a character based on information from the passage.,1,83,76,7,Key Ideas and Details,Literature,,,,,,,,
124,2023,23,FALSE,,http://www.doe.mass.edu/mcas/search/question.aspx?uin=EL723632935&YearCode=2023,SR,LA,L.PK-12.5,Analyze what the figurative language used in a passage suggests about a character.,1,61,58,3,Vocabulary Acquisition and Use,Literature,,,,,,,,
125,2023,24,FALSE,,http://www.doe.mass.edu/mcas/search/question.aspx?uin=EL713476504&YearCode=2023,SR,RE,R.PK-12.4,Analyze how a specific word impacts the meaning of a passage.,1,57,48,9,Craft and Structure,Literature,,,,,,,,
