,year,number,released,item_library_URL,standard_map_URL,type,reporting category,standard,item description,pts,school%,state%,school_state_diff,Cluster,text_type
123,2023,19,TRUE,https://mcas.digitalitemlibrary.com/home?subject=ELA&grades=Grade%2010&view=ALL&itemUIN=EL108655218&YearCode=2023,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=L.PK-12.2,SR,LA,L.PK-12.2,Identify the purpose of dashes in sentences from two articles on similar topics.,1,77,75,2,Conventions,Informational
124,2023,20,TRUE,https://mcas.digitalitemlibrary.com/home?subject=ELA&grades=Grade%2010&view=ALL&itemUIN=EL108650704&YearCode=2023,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=R.PK-12.5,SR,RE,R.PK-12.5,Determine an idea developed in a specific paragraph of an article and identify a detail that develops a similar idea in an article on a similar topic.,2,69,61,8,Craft and Structure,Informational
125,2023,21,FALSE,,https://mcas.digitalitemlibrary.com/home?subject=ELA&grades=Grade%2010&view=ALL&itemUIN=EL108640648&YearCode=2023,SR,RE,R.PK-12.2,Match details from two articles on similar topics with the central ideas they support.,2,76,71,5,Key Ideas and Details,Informational
126,2023,22,FALSE,,https://mcas.digitalitemlibrary.com/home?subject=ELA&grades=Grade%2010&view=ALL&itemUIN=EL108631124&YearCode=2023,ES,-,-,Write an argument in the form of a letter advocating for a topic addressed in two articles; use evidence from both articles for support.,8,68,64,4,WR Combined (Conv/Idea Dev),Informational
127,2023,23,FALSE,,https://mcas.digitalitemlibrary.com/home?subject=ELA&grades=Grade%2010&view=ALL&itemUIN=EL111666619&YearCode=2023,SR,RE,R.PK-12.5,Make an inference about the effect of a specific paragraph in an excerpt.,1,77,73,4,Craft and Structure,Literature
128,2023,24,FALSE,,https://mcas.digitalitemlibrary.com/home?subject=ELA&grades=Grade%2010&view=ALL&itemUIN=EL110674270&YearCode=2023,SR,LA,L.PK-12.4,Determine the context for an unfamiliar word in an excerpt.,1,87,82,5,Vocabulary Acquisition and Use,Literature
129,2023,25,FALSE,,https://mcas.digitalitemlibrary.com/home?subject=ELA&grades=Grade%2010&view=ALL&itemUIN=EL117657201&YearCode=2023,SR,RE,R.PK-12.3,Make an inference about a character based on details in an excerpt.,1,82,82,0,Key Ideas and Details,Literature
130,2023,26,FALSE,,https://mcas.digitalitemlibrary.com/home?subject=ELA&grades=Grade%2010&view=ALL&itemUIN=EL111730630&YearCode=2023,SR,RE,R.PK-12.3,Make an inference about a character based on dialogue in a specific section of an excerpt.,1,85,83,2,Key Ideas and Details,Literature
131,2023,27,FALSE,,https://mcas.digitalitemlibrary.com/home?subject=ELA&grades=Grade%2010&view=ALL&itemUIN=EL111645342&YearCode=2023,SR,RE,R.PK-12.3,Make an inference about two characters from excerpts on similar topics based on specific details in the excerpts.,1,89,88,1,Key Ideas and Details,Literature
132,2023,28,FALSE,,https://mcas.digitalitemlibrary.com/home?subject=ELA&grades=Grade%2010&view=ALL&itemUIN=EL111647089&YearCode=2023,SR,RE,R.PK-12.3,Make an inference about characters' relationships based on specific details from two excerpts on similar topics.,1,89,81,8,Key Ideas and Details,Literature
133,2023,29,FALSE,,https://mcas.digitalitemlibrary.com/home?subject=ELA&grades=Grade%2010&view=ALL&itemUIN=EL111562949&YearCode=2023,SR,RE,R.PK-12.1,Determine which sentence from an excerpt supports an interpretation of a character and which sentence from another excerpt suggests a similar interpretation of a different character.,2,69,64,5,Key Ideas and Details,Literature
134,2023,30,FALSE,,https://mcas.digitalitemlibrary.com/home?subject=ELA&grades=Grade%2010&view=ALL&itemUIN=EL111540952&YearCode=2023,SR,RE,R.PK-12.2,Determine which quotations from two excerpts on similar topics support two different themes shared by the excerpts.,2,77,76,1,Key Ideas and Details,Literature
135,2023,WR8.IDEA1,,,,ES,WR,,Essay 8 Writing ( idea development ),5,55,51,4,,Literature
136,2023,LA8.CONV1,,,,ES,LA,,Essay 8 Language ( conventions ),3,80,77,3,,Literature
137,2023,WR22.IDEA2,,,,ES,WR,,Essay 22 Writing ( idea development ),5,59,55,4,,Informational
138,2023,LA22.CONV2,,,,ES,LA,,Essay 22 Language ( conventions ),3,82,79,3,,Informational
139,2024,1,TRUE,https://mcas.digitalitemlibrary.com/home?subject=ELA&grades=Grade%2010&view=ALL&itemUIN=EL109176470&YearCode=2024,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=R.PK-12.5,SR,RE,R.PK-12.5,Determine the impact of sentence structure on characterization in a specific paragraph of an excerpt.,1,95,86,9,Craft and Structure,Literature
140,2024,2,TRUE,https://mcas.digitalitemlibrary.com/home?subject=ELA&grades=Grade%2010&view=ALL&itemUIN=EL108975887&YearCode=2024,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=L.PK-12.4,SR,LA,L.PK-12.4,Determine the meaning of an unfamiliar word in an excerpt.,1,73,60,13,Vocabulary Acquisition and Use,Literature
141,2024,3,TRUE,https://mcas.digitalitemlibrary.com/home?subject=ELA&grades=Grade%2010&view=ALL&itemUIN=EL108977016&YearCode=2024,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=L.PK-12.3,SR,LA,L.PK-12.3,Contrast the use of dashes in sentences from two excerpts on similar topics.,1,92,79,13,Knowledge of Language,Literature
142,2024,4,TRUE,https://mcas.digitalitemlibrary.com/home?subject=ELA&grades=Grade%2010&view=ALL&itemUIN=EL109174287&YearCode=2024,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=R.PK-12.2,SR,RE,R.PK-12.2,Compare how authors develop key themes in two excerpts on similar topics.,1,72,77,-5,Key Ideas and Details,Literature
143,2024,5,TRUE,https://mcas.digitalitemlibrary.com/home?subject=ELA&grades=Grade%2010&view=ALL&itemUIN=EL109164244&YearCode=2024,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=R.PK-12.5,SR,RE,R.PK-12.5,"Select sentences, one from each of two excerpts on similar topics, that represent a turning point for the characters in each excerpt.",1,83,66,17,Craft and Structure,Literature
144,2024,6,TRUE,https://mcas.digitalitemlibrary.com/home?subject=ELA&grades=Grade%2010&view=ALL&itemUIN=EL109172505&YearCode=2024,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=R.PK-12.2,SR,RE,R.PK-12.2,Identify a shared theme in two excerpts on similar topics.,1,89,73,16,Key Ideas and Details,Literature
145,2024,7,TRUE,https://mcas.digitalitemlibrary.com/home?subject=ELA&grades=Grade%2010&view=ALL&itemUIN=EL109162784&YearCode=2024,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=R.PK-12.3,SR,RE,R.PK-12.3,Determine what specific sentences from an excerpt reveal about a character and identify a sentence from an excerpt on a similar topic that suggests a similar characterization.,2,76,65,11,Key Ideas and Details,Literature
146,2024,8,TRUE,https://mcas.digitalitemlibrary.com/home?subject=ELA&grades=Grade%2010&view=ALL&itemUIN=EL109141319&YearCode=2024,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=R.PK-12.2,SR,RE,R.PK-12.2,Identify details from two excerpts on similar topics that support central ideas developed in both excerpts.,2,80,74,6,Key Ideas and Details,Literature
