,year,number,released,item_library_URL,standard_map_URL,type,reporting category,standard,item description,pts,school%,state%,school_state_diff,Cluster,text_type
0,2019,1,TRUE,https://mcas.digitalitemlibrary.com/home?subject=ELA&grades=Grade%208&view=ALL&itemUIN=EL708953188,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=R.PK-12.4,SR,RE,R.PK-12.4,Analyze figurative language in a passage to understand a character.,1,69,71,-2,Craft and Structure,Literature
1,2019,2,TRUE,https://mcas.digitalitemlibrary.com/home?subject=ELA&grades=Grade%208&view=ALL&itemUIN=EL708956273,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=R.PK-12.2,SR,RE,R.PK-12.2,Determine how a single paragraph helps develop the central idea of a passage and select supporting evidence from provided details from the passage.,2,57,46,11,Key Ideas and Details,Literature
2,2019,3,TRUE,https://mcas.digitalitemlibrary.com/home?subject=ELA&grades=Grade%208&view=ALL&itemUIN=EL708963785,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=R.PK-12.4,SR,RE,R.PK-12.4,Analyze an instance of irony in a passage.,1,89,86,3,Craft and Structure,Literature
3,2019,4,TRUE,https://mcas.digitalitemlibrary.com/home?subject=ELA&grades=Grade%208&view=ALL&itemUIN=EL708970664,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=R.PK-12.1,SR,RE,R.PK-12.1,Make an inference about a character in a passage based on details from a single paragraph.,1,67,54,13,Key Ideas and Details,Literature
4,2019,5,TRUE,https://mcas.digitalitemlibrary.com/home?subject=ELA&grades=Grade%208&view=ALL&itemUIN=EL709036142,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=L.PK-12.4,SR,LA,L.PK-12.4,Use context clues to determine the meaning of a word in a passage.,1,86,73,13,Vocabulary Acquisition and Use,Literature
5,2019,6,TRUE,https://mcas.digitalitemlibrary.com/home?subject=ELA&grades=Grade%208&view=ALL&itemUIN=EL709042787,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=R.PK-12.5,SR,RE,R.PK-12.5,Analyze the role of a paragraph in the overall structure of a passage.,1,74,76,-2,Craft and Structure,Literature
6,2019,7,TRUE,https://mcas.digitalitemlibrary.com/home?subject=ELA&grades=Grade%208&view=ALL&itemUIN=EL709072879,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=R.PK-12.3,SR,RE,R.PK-12.3,Identify significant character traits of characters in a passage.,2,49,39,10,Key Ideas and Details,Literature
7,2019,8,FALSE,,https://mcas.digitalitemlibrary.com/home?subject=ELA&grades=Grade%208&view=ALL&itemUIN=EL709130565,ES,-,-,Write an essay analyzing multiple characters in a passage; use details from the passage to support the analysis.,8,51,54,-3,WR Combined (Conv/Idea Dev),Literature
8,2019,9,TRUE,http://www.doe.mass.edu/mcas/search/question.aspx?uin=EL709162988,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=R.PK-12.5,SR,RE,R.PK-12.5,Determine the purpose of a section header in an article.,1,56,52,4,Craft and Structure,Informational
9,2019,10,TRUE,http://www.doe.mass.edu/mcas/search/question.aspx?uin=EL709172748,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=L.PK-12.4,SR,LA,L.PK-12.4,Use context clues to determine the meaning of a word in an article.,1,72,61,11,Vocabulary Acquisition and Use,Informational
