,year,number,released,item_library_URL,standard_map_URL,type,reporting category,standard,item description,pts,school%,state%,school_state_diff,Cluster,text_type
10,2019,11,TRUE,http://www.doe.mass.edu/mcas/search/question.aspx?uin=EL709170532,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=R.PK-12.6,SR,RE,R.PK-12.6,Determine the reason for the inclusion of specific supporting evidence in an article.,1,67,59,8,Craft and Structure,Informational
11,2019,12,TRUE,http://www.doe.mass.edu/mcas/search/question.aspx?uin=EL728531887,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=R.PK-12.8,SR,RE,R.PK-12.8,Distinguish between facts and unproven claims presented in an article.,2,68,69,-1,Integration of Knowledge and Ideas,Informational
12,2019,13,TRUE,http://www.doe.mass.edu/mcas/search/question.aspx?uin=EL709171912,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=R.PK-12.6,SR,RE,R.PK-12.6,Compare the points of view of two authors writing on the same subject.,1,81,74,7,Craft and Structure,Informational
13,2019,14,TRUE,http://www.doe.mass.edu/mcas/search/question.aspx?uin=EL709173329,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=R.PK-12.5,SR,RE,R.PK-12.5,Analyze the similar purpose of paragraphs in two articles on the same subject.,1,81,77,4,Craft and Structure,Informational
14,2019,15,TRUE,http://www.doe.mass.edu/mcas/search/question.aspx?uin=EL713050542,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=R.PK-12.2,SR,RE,R.PK-12.2,Identify the main idea of a paragraph in an article and identify evidence from another article that supports the same main idea.,2,61,63,-2,Key Ideas and Details,Informational
15,2019,16,FALSE,,http://www.doe.mass.edu/mcas/search/question.aspx?uin=EL709184717,ES,-,-,Write an essay explaining how the authors of articles on a similar subject help readers understand the subject; use details from both articles to support the explanation.,8,49,52,-3,WR Combined (Conv/Idea Dev),Informational
16,2019,17,TRUE,http://www.doe.mass.edu/mcas/search/question.aspx?uin=EL714442355,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=R.PK-12.4,SR,RE,R.PK-12.4,Analyze the effect of figurative language in a passage.,1,79,71,8,Craft and Structure,Literature
17,2019,18,TRUE,http://www.doe.mass.edu/mcas/search/question.aspx?uin=EL714444644,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=R.PK-12.1,SR,RE,R.PK-12.1,Make an inference about a character in a passage based on her actions.,1,78,72,6,Key Ideas and Details,Literature
18,2019,19,TRUE,http://www.doe.mass.edu/mcas/search/question.aspx?uin=EL715851641,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=L.PK-12.2,SR,LA,L.PK-12.2,Explain the role of a punctuation mark in a sentence.,1,72,71,1,Conventions,Literature
19,2019,20,TRUE,http://www.doe.mass.edu/mcas/search/question.aspx?uin=EL714445444,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=R.PK-12.5,SR,RE,R.PK-12.5,Analyze how sentence length helps reveal a character's attitude.,1,69,74,-5,Craft and Structure,Literature
20,2019,21,FALSE,,http://www.doe.mass.edu/mcas/search/question.aspx?uin=EL714444869,SR,RE,R.PK-12.3,Analyze the relationship between characters in a passage based on their interactions.,1,62,60,2,Key Ideas and Details,Literature
21,2019,22,FALSE,,http://www.doe.mass.edu/mcas/search/question.aspx?uin=EL714443470,SR,RE,R.PK-12.3,Determine a character's motivation in a passage and select supporting evidence from given details from the passage.,2,50,51,-1,Key Ideas and Details,Literature
22,2019,23,FALSE,,http://www.doe.mass.edu/mcas/search/question.aspx?uin=EL714447304,SR,RE,R.PK-12.3,Identify the different attitudes behind a character's reactions to events in a passage.,2,75,73,2,Key Ideas and Details,Literature
23,2019,24,FALSE,,http://www.doe.mass.edu/mcas/search/question.aspx?uin=EL714447652,ES,-,-,Write a narrative that retells the events of a passage from the point of view of a secondary character; use details from the passage to support the narrative.,8,46,44,2,WR Combined (Conv/Idea Dev),Literature
24,2019,LA8.CONV1,,,,ES,LA,,Essay 8 Language ( conventions ),3,66,69,-3,,Literature
25,2019,LA16.CONV2,,,,ES,LA,,Essay 16 Language ( conventions ),3,61,65,-4,,Informational
26,2019,LA24.CONV3,,,,ES,LA,,Essay 24 Language ( conventions ),3,60,57,3,,Literature
27,2019,WR8.IDEA1,,,,ES,WR,,Essay 8 Writing ( idea development ),5,41,45,-4,,Literature
28,2019,WR16.IDEA2,,,,ES,WR,,Essay 16 Writing ( idea development ),5,41,45,-4,,Informational
29,2019,WR24.IDEA3,,,,ES,WR,,Essay 24 Writing ( idea development ),5,37,36,1,,Literature
30,2021,1,TRUE,https://mcas.digitalitemlibrary.com/home?subject=ELA&grades=Grade%208&view=ALL&itemUIN=EL810351551,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=R.PK-12.5,SR,RE,R.PK-12.5,Determine how a text feature is important to a passage.,1,74,61,13,Craft and Structure,Informational
31,2021,2,TRUE,https://mcas.digitalitemlibrary.com/home?subject=ELA&grades=Grade%208&view=ALL&itemUIN=EL810356239,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=R.PK-12.3,SR,RE,R.PK-12.3,Use information from a passage to determine why an event happened.,1,72,67,5,Key Ideas and Details,Informational
32,2021,3,TRUE,https://mcas.digitalitemlibrary.com/home?subject=ELA&grades=Grade%208&view=ALL&itemUIN=EL810358526,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=L.PK-12.4,SR,LA,L.PK-12.4,Determine the meaning of a word in context.,1,66,69,-3,Vocabulary Acquisition and Use,Informational
33,2021,4,TRUE,https://mcas.digitalitemlibrary.com/home?subject=ELA&grades=Grade%208&view=ALL&itemUIN=EL810561207,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=R.PK-12.4,SR,RE,R.PK-12.4,Explain what an individual's use of a metaphor reveals about her point of view.,1,84,79,5,Craft and Structure,Informational
34,2021,5,TRUE,https://mcas.digitalitemlibrary.com/home?subject=ELA&grades=Grade%208&view=ALL&itemUIN=EL810561824,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=R.PK-12.5,SR,RE,R.PK-12.5,Determine how particular paragraphs help develop the central idea of a passage.,1,64,71,-7,Craft and Structure,Informational
35,2021,6,TRUE,https://mcas.digitalitemlibrary.com/home?subject=ELA&grades=Grade%208&view=ALL&itemUIN=EL810563002,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=R.PK-12.9,SR,RE,R.PK-12.9,Identify a difference in how two passages present information on a similar topic.,1,54,50,4,Integration of Knowledge and Ideas,Informational
36,2021,7,TRUE,https://mcas.digitalitemlibrary.com/home?subject=ELA&grades=Grade%208&view=ALL&itemUIN=EL810562108,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=R.PK-12.3,SR,RE,R.PK-12.3,Explain what specific sentences reveal about an individual.,1,68,69,-1,Key Ideas and Details,Informational
37,2021,8,TRUE,https://mcas.digitalitemlibrary.com/home?subject=ELA&grades=Grade%208&view=ALL&itemUIN=EL827744691,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=L.PK-12.4,SR,LA,L.PK-12.4,Determine the meaning of a word in context.,1,96,87,9,Vocabulary Acquisition and Use,Informational
38,2021,9,TRUE,https://mcas.digitalitemlibrary.com/home?subject=ELA&grades=Grade%208&view=ALL&itemUIN=EL810562694,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=R.PK-12.8,SR,RE,R.PK-12.8,Identify a shared claim in two passages.,1,78,72,6,Integration of Knowledge and Ideas,Informational
39,2021,10,TRUE,https://mcas.digitalitemlibrary.com/home?subject=ELA&grades=Grade%208&view=ALL&itemUIN=EL810357209,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=R.PK-12.1,SR,RE,R.PK-12.1,Make an inference about an individual in a passage; select evidence from provided details to support analysis.,2,79,68,11,Key Ideas and Details,Informational
40,2021,11,TRUE,https://mcas.digitalitemlibrary.com/home?subject=ELA&grades=Grade%208&view=ALL&itemUIN=EL815005831,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=R.PK-12.4,SR,RE,R.PK-12.4,Identify different tones in two passages on a similar topic.,2,79,73,6,Craft and Structure,Informational
41,2021,12,FALSE,,https://mcas.digitalitemlibrary.com/home?subject=ELA&grades=Grade%208&view=ALL&itemUIN=EL810733917,ES,-,-,Write an argument in the form of a letter in support of an idea presented in two passages; support the argument with details from the passages.,8,48,39,9,WR Combined (Conv/Idea Dev),Informational
42,2021,13,TRUE,http://www.doe.mass.edu/mcas/search/question.aspx?uin=EL809711064,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=R.PK-12.4,SR,RE,R.PK-12.4,Interpret what quotations from a passage suggest about a character.,1,85,64,21,Craft and Structure,Literature
43,2021,14,TRUE,http://www.doe.mass.edu/mcas/search/question.aspx?uin=EL810456981,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=R.PK-12.5,SR,RE,R.PK-12.5,Identify the reason behind a character's questions.,1,59,53,6,Craft and Structure,Literature
44,2021,15,TRUE,http://www.doe.mass.edu/mcas/search/question.aspx?uin=EL810436835,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=L.PK-12.4,SR,LA,L.PK-12.4,Determine the meaning of a word in context.,1,72,59,13,Vocabulary Acquisition and Use,Literature
45,2021,16,TRUE,http://www.doe.mass.edu/mcas/search/question.aspx?uin=EL809734614,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=R.PK-12.3,SR,RE,R.PK-12.3,Identify what a specific paragraph in a passage reveals about a character.,1,79,74,5,Key Ideas and Details,Literature
46,2021,17,TRUE,http://www.doe.mass.edu/mcas/search/question.aspx?uin=EL810439521,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=R.PK-12.5,SR,RE,R.PK-12.5,Determine the connection between two paragraphs in a passage.,1,72,67,5,Craft and Structure,Literature
47,2021,18,TRUE,http://www.doe.mass.edu/mcas/search/question.aspx?uin=EL809863460,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=R.PK-12.3,SR,RE,R.PK-12.3,Make an inference about a character based on his actions.,1,82,73,9,Key Ideas and Details,Literature
48,2021,19,TRUE,http://www.doe.mass.edu/mcas/search/question.aspx?uin=EL810133273,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=R.PK-12.6,SR,RE,R.PK-12.6,Determine how a character's point of view is revealed.,1,74,71,3,Craft and Structure,Literature
49,2021,20,TRUE,http://www.doe.mass.edu/mcas/search/question.aspx?uin=EL812838757,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=L.PK-12.2,SR,LA,L.PK-12.2,Determine the purpose of italics in context.,1,67,59,8,Conventions,Literature
50,2021,21,FALSE,,http://www.doe.mass.edu/mcas/search/question.aspx?uin=EL812849329,SR,RE,R.PK-12.9,Identify a similar topic across two passages.,1,79,75,4,Integration of Knowledge and Ideas,Literature
51,2021,22,FALSE,,http://www.doe.mass.edu/mcas/search/question.aspx?uin=EL809713456,SR,RE,R.PK-12.3,Compare the reactions of characters to similar situations across two passages; select evidence from provided details to support analysis.,2,68,63,5,Key Ideas and Details,Literature
52,2021,23,FALSE,,http://www.doe.mass.edu/mcas/search/question.aspx?uin=EL810222585,SR,RE,R.PK-12.2,Determine whether main ideas are present in one or two passages.,2,54,50,4,Key Ideas and Details,Literature
53,2021,24,FALSE,,http://www.doe.mass.edu/mcas/search/question.aspx?uin=EL810463548,ES,-,-,Write an essay that compares the challenges that characters in two passages face; support analysis with details from the passages.,8,52,40,12,WR Combined (Conv/Idea Dev),Literature
54,2021,25,FALSE,,http://www.doe.mass.edu/mcas/search/question.aspx?uin=EL302246,SR,RE,R.PK-12.4,Determine the technique used to describe the setting in a folktale.,1,82,67,15,Craft and Structure,Literature
55,2021,26,FALSE,,http://www.doe.mass.edu/mcas/search/question.aspx?uin=EL303225,SR,LA,L.PK-12.4,Identify a word that would best replace a word in context.,1,72,68,4,Vocabulary Acquisition and Use,Literature
56,2021,27,FALSE,,http://www.doe.mass.edu/mcas/search/question.aspx?uin=EL302248,SR,RE,R.PK-12.1,Make an inference about a character based on a paragraph.,1,66,63,3,Key Ideas and Details,Literature
57,2021,28,FALSE,,http://www.doe.mass.edu/mcas/search/question.aspx?uin=EL302250,SR,RE,R.PK-12.3,Analyze the similarity between the actions of two characters.,1,68,65,3,Key Ideas and Details,Literature
58,2021,29,FALSE,,http://www.doe.mass.edu/mcas/search/question.aspx?uin=EL302260,SR,LA,L.PK-12.4,Determine the meaning of a word in context.,1,68,66,2,Vocabulary Acquisition and Use,Literature
59,2021,30,FALSE,,http://www.doe.mass.edu/mcas/search/question.aspx?uin=EL302251,SR,RE,R.PK-12.3,Determine what a specific paragraph reveals about a character.,1,80,80,0,Key Ideas and Details,Literature
60,2021,31,FALSE,,http://www.doe.mass.edu/mcas/search/question.aspx?uin=EL303224,SR,RE,R.PK-12.5,Determine the theme of a folktale.,1,82,74,8,Craft and Structure,Literature
61,2021,32,FALSE,,http://www.doe.mass.edu/mcas/search/question.aspx?uin=EL302256,SR,RE,R.PK-12.2,Determine the theme of a folktale.,1,56,56,0,Key Ideas and Details,Literature
62,2021,WR12.IDEA1,,,,ES,WR,,Essay 12 Writing ( idea development ),5,40,33,7,,Informational
63,2021,LA12.CONV1,,,,ES,LA,,Essay 12 Language ( conventions ),3,61,49,12,,Informational
64,2021,WR24.IDEA2,,,,ES,WR,,Essay 24 Writing ( idea development ),5,45,33,12,,Literature
65,2021,LA24.CONV2,,,,ES,LA,,Essay 24 Language ( conventions ),3,62,52,10,,Literature
66,2022,1,TRUE,https://mcas.digitalitemlibrary.com/home?subject=ELA&grades=Grade%208&view=ALL&itemUIN=EL911862506&YearCode=2022,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=R.PK-12.3,SR,RE,R.PK-12.3,Analyze a difference between characters in a passage.,1,98,91,7,Key Ideas and Details,Literature
67,2022,2,TRUE,https://mcas.digitalitemlibrary.com/home?subject=ELA&grades=Grade%208&view=ALL&itemUIN=EL911657712&YearCode=2022,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=L.PK-12.2,SR,LA,L.PK-12.2,Analyze the purpose of dashes in a sentence in a passage.,1,85,75,10,Conventions,Literature
68,2022,3,TRUE,https://mcas.digitalitemlibrary.com/home?subject=ELA&grades=Grade%208&view=ALL&itemUIN=EL911558166&YearCode=2022,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=L.PK-12.3,SR,LA,L.PK-12.3,Determine the purpose of short sentences in a passage.,1,87,83,4,Knowledge of Language,Literature
69,2022,4,TRUE,https://mcas.digitalitemlibrary.com/home?subject=ELA&grades=Grade%208&view=ALL&itemUIN=EL914376798&YearCode=2022,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=R.PK-12.1,SR,RE,R.PK-12.1,Identify a quotation that marks a turning point in a passage.,1,60,57,3,Key Ideas and Details,Literature
70,2022,5,TRUE,https://mcas.digitalitemlibrary.com/home?subject=ELA&grades=Grade%208&view=ALL&itemUIN=EL911946437&YearCode=2022,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=R.PK-12.4,SR,RE,R.PK-12.4,Analyze a symbolic image in a passage.,1,91,75,16,Craft and Structure,Literature
71,2022,6,TRUE,https://mcas.digitalitemlibrary.com/home?subject=ELA&grades=Grade%208&view=ALL&itemUIN=EL913755133&YearCode=2022,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=R.PK-12.3,SR,RE,R.PK-12.3,Analyze how a section of a passage develops a character.,1,90,83,7,Key Ideas and Details,Literature
72,2022,7,TRUE,https://mcas.digitalitemlibrary.com/home?subject=ELA&grades=Grade%208&view=ALL&itemUIN=EL914324180&YearCode=2022,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=R.PK-12.3,SR,RE,R.PK-12.3,Make an inference about a character from a section of a passage.,1,65,58,7,Key Ideas and Details,Literature
73,2022,8,TRUE,https://mcas.digitalitemlibrary.com/home?subject=ELA&grades=Grade%208&view=ALL&itemUIN=EL911764401&YearCode=2022,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=R.PK-12.3,SR,RE,R.PK-12.3,Analyze how two characters in different passages have a similar experience.,1,84,77,7,Key Ideas and Details,Literature
74,2022,9,TRUE,https://mcas.digitalitemlibrary.com/home?subject=ELA&grades=Grade%208&view=ALL&itemUIN=EL911763814&YearCode=2022,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=R.PK-12.2,SR,RE,R.PK-12.2,Determine a shared theme of two passages on similar topics.,1,90,84,6,Key Ideas and Details,Literature
75,2022,10,TRUE,https://mcas.digitalitemlibrary.com/home?subject=ELA&grades=Grade%208&view=ALL&itemUIN=EL911659849&YearCode=2022,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=R.PK-12.3,SR,RE,R.PK-12.3,Determine one character's attitude based on a quotation from a passage and identify a quotation from another passage that expresses a similar attitude.,2,98,88,10,Key Ideas and Details,Literature
76,2022,11,TRUE,https://mcas.digitalitemlibrary.com/home?subject=ELA&grades=Grade%208&view=ALL&itemUIN=EL913761016&YearCode=2022,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=R.PK-12.6,SR,RE,R.PK-12.6,Compare the behavior of characters in two different passages on similar topics.,2,76,70,6,Craft and Structure,Literature
77,2022,12,FALSE,,https://mcas.digitalitemlibrary.com/home?subject=ELA&grades=Grade%208&view=ALL&itemUIN=EL911774388&YearCode=2022,ES,-,-,Write an essay that analyzes characters in two passages on similar topics; use information from both passages to support the analysis.,8,60,45,15,WR Combined (Conv/Idea Dev),Literature
78,2022,13,TRUE,https://mcas.digitalitemlibrary.com/home?subject=ELA&grades=Grade%208&view=ALL&itemUIN=EL309397&YearCode=2022,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=R.PK-12.4,SR,RE,R.PK-12.4,Analyze the effect of verb tense in an excerpt.,1,80,71,9,Craft and Structure,Informational
79,2022,14,TRUE,https://mcas.digitalitemlibrary.com/home?subject=ELA&grades=Grade%208&view=ALL&itemUIN=EL917559756&YearCode=2022,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=R.PK-12.2,SR,RE,R.PK-12.2,Explain how a paragraph contributes to the main idea of an excerpt.,1,84,70,14,Key Ideas and Details,Informational
80,2022,15,TRUE,https://mcas.digitalitemlibrary.com/home?subject=ELA&grades=Grade%208&view=ALL&itemUIN=EL309401&YearCode=2022,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=R.PK-12.6,SR,RE,R.PK-12.6,Analyze the purpose of quoting a primary source in an excerpt.,1,80,65,15,Craft and Structure,Informational
81,2022,16,TRUE,https://mcas.digitalitemlibrary.com/home?subject=ELA&grades=Grade%208&view=ALL&itemUIN=EL309393_ePAT&YearCode=2022,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=R.PK-12.4,SR,RE,R.PK-12.4,Analyze descriptive language used as a preface to a poem.,1,64,52,12,Craft and Structure,Informational
82,2022,17,TRUE,https://mcas.digitalitemlibrary.com/home?subject=ELA&grades=Grade%208&view=ALL&itemUIN=EL913447634_ePAT&YearCode=2022,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=L.PK-12.4,SR,LA,L.PK-12.4,Use context to determine the meaning of a word used figuratively in a poem.,1,66,64,2,Vocabulary Acquisition and Use,Informational
83,2022,18,TRUE,https://mcas.digitalitemlibrary.com/home?subject=ELA&grades=Grade%208&view=ALL&itemUIN=EL919039373_ePAT&YearCode=2022,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=R.PK-12.6,SR,RE,R.PK-12.6,Analyze a difference in perspective between an excerpt and a poem on similar topics.,1,82,62,20,Craft and Structure,Informational
84,2022,19,TRUE,https://mcas.digitalitemlibrary.com/home?subject=ELA&grades=Grade%208&view=ALL&itemUIN=EL913448483_ePAT&YearCode=2022,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=R.PK-12.3,SR,RE,R.PK-12.3,Use information from an excerpt and a poem on similar topics to compare the experiences depicted in each text.,2,69,58,11,Key Ideas and Details,Informational
85,2022,20,TRUE,http://www.doe.mass.edu/mcas/search/question.aspx?uin=EL836547482&YearCode=2022,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=L.PK-12.4,SR,LA,L.PK-12.4,Use context to determine the meaning of a word in an excerpt.,1,97,86,11,Vocabulary Acquisition and Use,Informational
86,2022,21,FALSE,,http://www.doe.mass.edu/mcas/search/question.aspx?uin=EL836459385&YearCode=2022,SR,RE,R.PK-12.6,Identify the purpose of a parenthetical statement in an excerpt.,1,92,80,12,Craft and Structure,Informational
87,2022,22,FALSE,,http://www.doe.mass.edu/mcas/search/question.aspx?uin=EL836438880&YearCode=2022,SR,RE,R.PK-12.5,Analyze the effect of a sentence in an excerpt.,1,93,81,12,Craft and Structure,Informational
88,2022,23,FALSE,,http://www.doe.mass.edu/mcas/search/question.aspx?uin=EL836463708&YearCode=2022,SR,RE,R.PK-12.5,Make an inference from a paragraph in an excerpt.,1,46,49,-3,Craft and Structure,Informational
89,2022,24,FALSE,,http://www.doe.mass.edu/mcas/search/question.aspx?uin=EL836448634&YearCode=2022,SR,LA,L.PK-12.4,Use context to determine the meaning of a word in an excerpt and identify a quotation from the excerpt that supports the meaning.,2,75,65,10,Vocabulary Acquisition and Use,Literature
90,2022,25,FALSE,,http://www.doe.mass.edu/mcas/search/question.aspx?uin=EL836456432&YearCode=2022,SR,RE,R.PK-12.3,Determine the purpose of paragraphs in a passage.,1,84,73,11,Key Ideas and Details,Literature
91,2022,26,FALSE,,http://www.doe.mass.edu/mcas/search/question.aspx?uin=EL836461762&YearCode=2022,SR,RE,R.PK-12.1,Analyze how the details in two paragraphs contribute to the reader's understanding of a passage.,1,92,74,18,Key Ideas and Details,Literature
92,2022,27,FALSE,,http://www.doe.mass.edu/mcas/search/question.aspx?uin=EL836464683&YearCode=2022,SR,RE,R.PK-12.3,Analyze how a character's actions in a passage reveal a character trait.,1,89,82,7,Key Ideas and Details,Literature
93,2022,28,FALSE,,http://www.doe.mass.edu/mcas/search/question.aspx?uin=EL900353074&YearCode=2022,SR,RE,R.PK-12.4,Determine the tone of a character's dialogue in a passage.,1,94,81,13,Craft and Structure,Literature
94,2022,29,FALSE,,http://www.doe.mass.edu/mcas/search/question.aspx?uin=EL904652080&YearCode=2022,SR,RE,R.PK-12.2,Make a comparison between an excerpt and a passage on similar topics.,1,74,75,-1,Key Ideas and Details,Literature
95,2022,30,FALSE,,http://www.doe.mass.edu/mcas/search/question.aspx?uin=EL836455548&YearCode=2022,SR,RE,R.PK-12.3,Identify a difference in individuals' attitudes in an excerpt and a passage on similar topics.,2,75,63,12,Key Ideas and Details,Literature
96,2022,31,FALSE,,http://www.doe.mass.edu/mcas/search/question.aspx?uin=EL836248600&YearCode=2022,ES,-,-,Write an essay that explains the benefits and challenges of a particular topic based on an excerpt and a passage; use information from both texts to support the analysis.,8,66,47,19,WR Combined (Conv/Idea Dev),Literature
97,2022,WR12.IDEA1,,,,ES,WR,,Essay 12 Writing ( idea development ),5,51,38,13,,Literature
98,2022,LA12.CONV1,,,,ES,LA,,Essay 12 Language ( conventions ),3,75,58,17,,Literature
99,2022,WR31.IDEA2,,,,ES,WR,,Essay 31 Writing ( idea development ),5,57,39,18,,Informational
100,2022,LA31.CONV2,,,,ES,LA,,Essay 31 Language ( conventions ),3,82,60,22,,Informational
101,2023,1,TRUE,https://mcas.digitalitemlibrary.com/home?subject=ELA&grades=Grade%208&view=ALL&itemUIN=EL007061650&YearCode=2023,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=R.PK-12.3,SR,RE,R.PK-12.3,Analyze a character based on details from specific paragraphs of a passage.,1,80,73,7,Key Ideas and Details,Literature
